iter	Logloss
0	0.6737057184
1	0.6577952142
2	0.6380171802
3	0.6242085474
4	0.6158225476
5	0.6012025992
6	0.5712276575
7	0.5596233577
8	0.5528622262
9	0.5473786354
10	0.5378896109
11	0.5280855639
12	0.5227858345
13	0.5136901181
14	0.5034680606
15	0.4908860726
16	0.4863470027
17	0.4796465686
18	0.468254318
19	0.4628627471
20	0.4527394231
21	0.4437686543
22	0.4349513747
23	0.4270763702
24	0.4249103071
25	0.4196246512
26	0.414395751
27	0.40768315
28	0.3976196842
29	0.3929758016
30	0.3812458613
31	0.3768851789
32	0.3687312346
33	0.367153774
34	0.3619722961
35	0.358028168
36	0.3523597364
37	0.3466185193
38	0.3441371091
39	0.3419295128
40	0.3362005855
41	0.3296969692
42	0.3248359321
43	0.3184997075
44	0.3102622041
45	0.2994560662
46	0.2978545319
47	0.2941282571
48	0.2895468089
49	0.2841997275
50	0.2788602281
51	0.2720438715
52	0.2689240535
53	0.2678224469
54	0.2662404029
55	0.2652010961
56	0.2640862947
57	0.2606180075
58	0.2565626646
59	0.2522653653
60	0.2464783751
61	0.2431203056
62	0.2390093136
63	0.2343287488
64	0.2302696266
65	0.2270453177
66	0.2229274337
67	0.2197699232
68	0.2154063065
69	0.2119413161
70	0.2092464123
71	0.206608792
72	0.2056362706
73	0.2040767973
74	0.2029587648
75	0.2018236326
76	0.2001712227
77	0.1986933421
78	0.1980390581
79	0.1967809096
80	0.1947195509
81	0.1935608991
82	0.1919396654
83	0.1902020371
84	0.1894960559
85	0.1874894837
86	0.183289428
87	0.1826150325
88	0.1814983246
89	0.1783787216
90	0.1756680995
91	0.1726247162
92	0.1700270136
93	0.1680782791
94	0.1668241292
95	0.1651049984
96	0.1645011806
97	0.1641765277
98	0.1615506622
99	0.1609482984
100	0.1607693575
101	0.1592729457
102	0.157761206
103	0.1563769089
104	0.1557311208
105	0.1547231342
106	0.1523490593
107	0.1501905542
108	0.1477341929
109	0.1470639568
110	0.1449858988
111	0.1441637437
112	0.1424570218
113	0.1418338805
114	0.1414289507
115	0.1401380031
116	0.1391164095
117	0.1377449709
118	0.1372655159
119	0.1363572329
120	0.1357414199
121	0.1349070847
122	0.1343562668
123	0.1339384749
124	0.133517696
125	0.1331634927
126	0.131781518
127	0.1309914887
128	0.1305208336
129	0.1293396936
130	0.1280116896
131	0.1276187623
132	0.1258113968
133	0.1245322215
134	0.1234476548
135	0.1224835816
136	0.1218873569
137	0.1214316225
138	0.1207131418
139	0.1204021837
140	0.1197589687
141	0.1192878107
142	0.1184162962
143	0.1179918177
144	0.1174527055
145	0.1163314047
146	0.1158110437
147	0.1153579753
148	0.1147778051
149	0.1143550832
150	0.113258536
151	0.1119803036
152	0.1113620893
153	0.1107780264
154	0.1104276105
155	0.1100836866
156	0.1097490013
157	0.1092563209
158	0.1089386565
159	0.108741691
160	0.1085063379
161	0.1081970363
162	0.1079454313
163	0.1077587987
164	0.1075321175
165	0.1068184264
166	0.1062454932
167	0.1060423521
168	0.1055576155
169	0.1051540213
170	0.1049282657
171	0.1047468861
172	0.104589994
173	0.1037425196
174	0.1034030133
175	0.1031570985
176	0.1028324427
177	0.1023069149
178	0.1018122438
179	0.101476174
180	0.101300432
181	0.1002812873
182	0.099579682
183	0.09905060953
184	0.09851596015
185	0.09825534763
186	0.09798901565
187	0.0971640783
188	0.09692380254
189	0.09619316653
190	0.09577891199
191	0.09560943332
192	0.09538947678
193	0.09500367544
194	0.09445895637
195	0.09427341883
196	0.09401321932
197	0.09387218801
198	0.09367743458
199	0.09349536496
200	0.09325685752
201	0.09292549906
202	0.09245579722
203	0.09208262851
204	0.09181631116
205	0.09157421298
206	0.09121460601
207	0.09092860396
208	0.09073702752
209	0.09040203301
210	0.09008946011
211	0.0898819783
212	0.08939859191
213	0.08908558333
214	0.08855168617
215	0.0883643708
216	0.08789865298
217	0.08768977713
218	0.08727111714
219	0.08677317739
220	0.08656525295
221	0.08636140098
222	0.08579892087
223	0.08560888869
224	0.08515407283
225	0.08489348515
226	0.08467058336
227	0.08435829117
228	0.08395319622
229	0.08365123982
230	0.08346548662
231	0.08310551597
232	0.08296335342
233	0.08286215644
234	0.08267685135
235	0.08254301283
236	0.08236371704
237	0.08226609873
238	0.08207324447
239	0.0819155278
240	0.08178418423
241	0.08169904832
242	0.08158018935
243	0.08143217248
244	0.08128011274
245	0.08114997717
246	0.08089719525
247	0.08074567463
248	0.08064280839
249	0.08046694433
250	0.08029462202
251	0.08005378704
252	0.07985559457
253	0.07974022947
254	0.07959144394
255	0.07930905089
256	0.07917778883
257	0.07907246601
258	0.0789470144
259	0.07884694062
260	0.07872821615
261	0.07850748693
262	0.07840483194
263	0.07831219658
264	0.07810260251
265	0.07792794316
266	0.0777861483
267	0.07764003645
268	0.07756129142
269	0.077304876
270	0.07717659464
271	0.07704374299
272	0.07696731783
273	0.07687975313
274	0.07674751882
275	0.07652296165
276	0.07640571785
277	0.07621088658
278	0.07610456703
279	0.07597450492
280	0.07580335297
281	0.07567046367
282	0.0756132009
283	0.07551256278
284	0.07542473492
285	0.07525072361
286	0.07512748112
287	0.07494720248
288	0.07476073252
289	0.07468091327
290	0.07457681307
291	0.07449129887
292	0.07430112122
293	0.07416679512
294	0.07405079696
295	0.07399785959
296	0.07392029515
297	0.07383738371
298	0.0736829873
299	0.07359792376
300	0.07349516862
301	0.07334877497
302	0.07314957882
303	0.07278061672
304	0.07260354904
305	0.07251947274
306	0.07230767503
307	0.07208137367
308	0.07191374849
309	0.07181773219
310	0.07154448009
311	0.07140968468
312	0.0711988212
313	0.07100993598
314	0.07083128932
315	0.07072766538
316	0.07030099423
317	0.07017788734
318	0.0700841094
319	0.0699005529
320	0.06979469754
321	0.06968441115
322	0.06958829544
323	0.06945657174
324	0.06933829904
325	0.06919392005
326	0.06908102577
327	0.06893384006
328	0.06887065061
329	0.06873708842
330	0.06859785028
331	0.06849941872
332	0.06842223805
333	0.06833575233
334	0.06829570235
335	0.06811109611
336	0.06797921744
337	0.06781510733
338	0.06773763792
339	0.06762533539
340	0.06753372162
341	0.06745641376
342	0.06738469486
343	0.06725553884
344	0.06719467474
345	0.06710363774
346	0.06700623763
347	0.06693373326
348	0.06680675237
349	0.06670235355
350	0.06657807193
351	0.06649628004
352	0.06638740486
353	0.06626932003
354	0.06620764963
355	0.0660790543
356	0.0659762871
357	0.06588430818
358	0.06572540398
359	0.06566330995
360	0.06559604803
361	0.06548652774
362	0.06538811519
363	0.06531684988
364	0.06511885478
365	0.0650027806
366	0.06494907969
367	0.06485923094
368	0.06475900036
369	0.0646976611
370	0.06461348904
371	0.06456275969
372	0.06441563905
373	0.06434895572
374	0.06429174339
375	0.06423289835
376	0.06413923994
377	0.06402914361
378	0.0639584558
379	0.06385852712
380	0.06377502539
381	0.06374021239
382	0.06364909387
383	0.06356498687
384	0.06348852406
385	0.06340265019
386	0.06331800991
387	0.06326157867
388	0.06314396023
389	0.0630960939
390	0.06304315982
391	0.06288751557
392	0.06278609489
393	0.06270391776
394	0.06264143301
395	0.06260321823
396	0.06252852338
397	0.06242779461
398	0.0623301869
399	0.06220161167
400	0.0621002546
401	0.06201748571
402	0.06195996782
403	0.06183320989
404	0.06177124525
405	0.06171381581
406	0.06159525472
407	0.06152515209
408	0.06145572308
409	0.0613713891
410	0.06126542701
411	0.06121150022
412	0.06119187802
413	0.06103751815
414	0.06098197217
415	0.06094435792
416	0.06084800134
417	0.06079503729
418	0.06071717057
419	0.06064955667
420	0.06056192874
421	0.06046573919
422	0.06037858898
423	0.06026638039
424	0.0601749512
425	0.0601164819
426	0.06006659322
427	0.05996565173
428	0.05968585889
429	0.05959141756
430	0.05951734772
431	0.05942588965
432	0.05936846387
433	0.05925150334
434	0.05915560766
435	0.05905220229
436	0.05896122851
437	0.05888639915
438	0.05884928492
439	0.05877265397
440	0.05869118556
441	0.05856413595
442	0.05850493966
443	0.05846300878
444	0.05832106041
445	0.05823768588
446	0.05820674541
447	0.05812978844
448	0.05806757124
449	0.05803473013
450	0.05797094564
451	0.05794041746
452	0.05786176527
453	0.05779675999
454	0.05772495263
455	0.05767625038
456	0.05760986056
457	0.05753563831
458	0.05747797604
459	0.05744883788
460	0.05739521044
461	0.05729066506
462	0.05727356229
463	0.05721403412
464	0.05717423926
465	0.05709728777
466	0.05701808768
467	0.05698580069
468	0.0569359058
469	0.05683999806
470	0.05677449385
471	0.05669082984
472	0.05657582714
473	0.05650613771
474	0.05643946517
475	0.05638134565
476	0.05630640207
477	0.05626289203
478	0.05622751194
479	0.0561441491
480	0.05608582563
481	0.0560043691
482	0.05593081663
483	0.05585849592
484	0.05578324513
485	0.05571765613
486	0.05567108497
487	0.05562256548
488	0.05557385921
489	0.05550242796
490	0.05541456995
491	0.05533981113
492	0.0552978384
493	0.05523283147
494	0.05518832506
495	0.05512613673
496	0.05507835976
497	0.05503936537
498	0.05496871831
499	0.05492631282
500	0.05488260997
501	0.05485364634
502	0.05480857778
503	0.05472027878
504	0.05466213606
505	0.05462940772
506	0.05457343409
507	0.05452747972
508	0.05446745135
509	0.05442666141
510	0.05437607004
511	0.05432398211
512	0.05428109946
513	0.05421275418
514	0.05418513982
515	0.05413896852
516	0.0540838891
517	0.0540289166
518	0.0539744569
519	0.05392646209
520	0.05387270106
521	0.05382503192
522	0.05381074501
523	0.05377835111
524	0.05371158865
525	0.05365068087
526	0.0535709296
527	0.05353384333
528	0.05350123634
529	0.05346220995
530	0.05341483852
531	0.05339154535
532	0.05333965187
533	0.05330391779
534	0.05327969094
535	0.05320353589
536	0.05315815207
537	0.05311064412
538	0.05307646344
539	0.05303552199
540	0.05295114981
541	0.05289764207
542	0.05284778519
543	0.05278991715
544	0.05274484017
545	0.05268640103
546	0.05264504436
547	0.05255504521
548	0.0525212156
549	0.05249957416
550	0.05246863277
551	0.05240496122
552	0.05238576337
553	0.05236771942
554	0.0522938857
555	0.05224600639
556	0.05221339538
557	0.05217966226
558	0.05215722986
559	0.05209531968
560	0.05205840849
561	0.05202720741
562	0.05199873137
563	0.05197729827
564	0.05194684155
565	0.05191787298
566	0.05187698289
567	0.05180569053
568	0.05176556068
569	0.05166983222
570	0.05164576748
571	0.05161067687
572	0.05155231356
573	0.05148018602
574	0.05146731344
575	0.05142732669
576	0.05136139814
577	0.05134084773
578	0.05129569784
579	0.05125528491
580	0.05121140826
581	0.05119213293
582	0.05115149722
583	0.05112232087
584	0.05110288581
585	0.05105075822
586	0.05100928715
587	0.05097919849
588	0.05092052049
589	0.05089073484
590	0.05085660149
591	0.05083192982
592	0.05078000691
593	0.05072918638
594	0.05071684561
595	0.05070032418
596	0.0506666616
597	0.05063465915
598	0.05057601477
599	0.05051105445
600	0.05047110078
601	0.05040980721
602	0.05036367886
603	0.05033471614
604	0.05027345108
605	0.05024239292
606	0.05019323909
607	0.05016610099
608	0.05014871422
609	0.05010690213
610	0.05007286875
611	0.05004416719
612	0.05002520911
613	0.0500012129
614	0.04996303869
615	0.04991986309
616	0.04988745602
617	0.04986866663
618	0.04983932196
619	0.04981372355
620	0.04976464154
621	0.04968941542
622	0.0496758005
623	0.04965380159
624	0.04963201687
625	0.04961482437
626	0.04955199019
627	0.04951784021
628	0.04949847862
629	0.04945687267
630	0.04938568924
631	0.04934208124
632	0.04929887182
633	0.0492726504
634	0.04921834787
635	0.04919099612
636	0.04914918897
637	0.04910647043
638	0.0490455071
639	0.04899244473
640	0.04894862254
641	0.04888871332
642	0.0488372188
643	0.04881864285
644	0.0487909108
645	0.04874365541
646	0.04869398622
647	0.04866699578
648	0.04860407187
649	0.04855770064
650	0.04850778126
651	0.04848493456
652	0.04845623921
653	0.04843175633
